User,Tweet Count,Date/Time,Compound,Negative,Neutral,Positive,Text
BBC,22,2018-04-24 10:33:00+00:00,0.75,0.0,0.701,0.299,Cheers! 🍬🍋 Sweet maker Gillian shows @NishaKatona how to make her gin and tonic marshmallows. #TopOfTheShop https://t.co/zLqZBO0Hg0
BBC,21,2018-04-24 10:12:04+00:00,0.0,0.0,1.0,0.0,RT @BBCOne: Less than one month to go until the #RoyalWedding!  👰 💑 💍🎉❤️ https://t.co/4tpY4OERd0
BBC,20,2018-04-24 10:08:25+00:00,0.2023,0.0,0.913,0.087,"RT @bbceurovision: ""May we have your points please?..."" @Rylan prepares the 2018 #Eurovision artists for the all important scoring. 🤣 https…"
BBC,19,2018-04-24 09:08:33+00:00,0.0,0.0,1.0,0.0,RT @BBCNewsround: Why is Millicent Fawcett getting her own statue in Parliament Square? https://t.co/e6fNQd9ezH https://t.co/y09ruvrxIT
BBC,18,2018-04-24 09:02:42+00:00,0.2732,0.0,0.913,0.087,RT @BBCLookEast: Well done @simonsmarathon who completed the London Marathon late last night - he is the first man to finish the race using…
BBC,17,2018-04-24 08:47:41+00:00,0.0,0.0,1.0,0.0,"RT @BBCGetIn: **DEADLINE ALERT**

Just 4 days left to apply for our Communications Trainee Scheme!

Applications close on Thursday 26th Apr…"
BBC,16,2018-04-24 08:01:02+00:00,0.765,0.0,0.68,0.32,❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn
BBC,15,2018-04-24 07:29:05+00:00,0.0,0.0,1.0,0.0,"🌈👀 Did you know that depending on what language you speak, your eye perceives colours – and the world – differently… https://t.co/Q6Cn2rteK3"
BBC,14,2018-04-24 07:00:08+00:00,-0.7003,0.271,0.639,0.09,"‘I’m determined to prove the terrorists wrong.’

Martin was paralysed in the Manchester Arena attack and is now tra… https://t.co/qTRSdGxBeJ"
BBC,13,2018-04-23 19:15:23+00:00,0.0,0.0,1.0,0.0,"RT @BBCTwo: It's #ShakespearesBirthday so here's Hamlet's famous ""To be or not to be"" speech, performed by Andrew Scott! 📜🎭🎂 https://t.co/b…"
BBC,12,2018-04-23 18:53:11+00:00,0.0,0.0,1.0,0.0,👶💖 The Duke and Duchess of Cambridge introduce their new son to the world. https://t.co/nmrD1axv6Y
BBC,11,2018-04-23 18:01:04+00:00,0.0,0.0,1.0,0.0,✈️ Do you know how to wear an oxygen mask?  https://t.co/pf8lvubtc9
BBC,10,2018-04-23 16:58:47+00:00,0.0,0.0,1.0,0.0,RT @BBCBreaking: The Duke and Duchess of Cambridge show off new son outside London hospital https://t.co/lGZ2YAK7um #royalbaby https://t.co…
BBC,9,2018-04-23 16:23:06+00:00,0.0,0.0,1.0,0.0,❤️ The Duke of Cambridge has arrived at hospital with Prince George &amp; Princess Charlotte following birth of their b… https://t.co/w0QF6vPprS
BBC,8,2018-04-23 16:01:07+00:00,-0.4767,0.205,0.795,0.0,"😂 That time the police busted Mary Berry smuggling ingredients into America… 
#TheGNShow https://t.co/slxL3klU3h"
BBC,7,2018-04-23 15:32:35+00:00,-0.3182,0.108,0.892,0.0,"How much do you know about England, the English and the frequently odd things they do and eat? Celebrate… https://t.co/zCiIrdYYkW"
BBC,6,2018-04-23 15:03:01+00:00,0.0,0.0,1.0,0.0,"How does plastic actually enter our oceans? 
#OurBluePlanet  https://t.co/LdOt9inVFS"
BBC,5,2018-04-23 13:53:37+00:00,0.0,0.0,1.0,0.0,RT @BBCNews: #royalbaby: Formal notice of birth displayed on forecourt of Buckingham Palace https://t.co/jU2MrpGseg https://t.co/wWgoKAeFaJ
BBC,4,2018-04-23 13:32:04+00:00,0.2263,0.102,0.756,0.142,🐶❤️ Australian police have praised a dog for remaining with a three-year-old girl as she spent a night lost in bush… https://t.co/oGu1MgHiI0
BBC,3,2018-04-23 12:33:00+00:00,0.2263,0.059,0.844,0.097,"Beth is a trainee nurse about to start working in A&amp;E. 🏥🚑

Can former nurse Una calm her nerves via a hidden earpie… https://t.co/Z1HXesGbkQ"
BBC,2,2018-04-23 12:09:01+00:00,0.0,0.0,1.0,0.0,"👶❤️ It's a boy! 

The Duchess of Cambridge gives birth to her third child, who is fifth in line to throne. 
👉… https://t.co/txzbor7jKG"
BBC,1,2018-04-23 11:27:23+00:00,0.0,0.0,1.0,0.0,"Arthur? Albert? Mary? Alice?

As the Duchess of Cambridge goes into labour with her third child, speculation contin… https://t.co/3a65q968kv"
CBS,100,2018-04-26 23:40:24+00:00,0.0,0.0,1.0,0.0,These stars are going undercover for #CelebrityBoss! Find out more about Celebrity @undercover_cbs premiering May 1… https://t.co/Deyn76ADT9
CBS,99,2018-04-25 21:48:49+00:00,0.75,0.0,0.687,0.313,"New courage. New hope. New season. 

Season 3 of @CodeBlackCBS premieres TONIGHT at 10/9c on CBS! https://t.co/rR8xUCKlzI"
CBS,98,2018-04-25 18:09:50+00:00,0.5719,0.0,0.837,0.163,Celebrate #DNADay by letting your forensic flag fly and revisit some classic episodes of @CSI_CBS on CBS All Access… https://t.co/YCbHDK2r4b
CBS,97,2018-04-25 16:55:33+00:00,0.6239,0.0,0.779,0.221,"Get ready for big reveals, dramatic conclusions, and huge guest stars! Find out more about the 2017-2018 season fin… https://t.co/xcBChnjEvH"
CBS,96,2018-04-23 21:03:22+00:00,0.6696,0.0,0.756,0.244,Who’s ready to see these moves? 🕺 Tune in to the @latelateshow’s Carpool Karaoke Primetime Special TONIGHT at 10/9c! https://t.co/gjrURqXaPN
CBS,95,2018-04-22 16:00:03+00:00,0.4019,0.0,0.863,0.137,"The 53rd #ACMawards turned into one big party when @KeithUrban and @juliamichaels performed their upbeat single ""Co… https://t.co/Q3Zj3EzuNs"
CBS,94,2018-04-20 22:00:01+00:00,-0.4019,0.105,0.895,0.0,A blind date was all it took. Learn more about Meghan Markle and her road to royalty from the people who know her b… https://t.co/fEAMUblPQ4
CBS,93,2018-04-20 17:34:37+00:00,0.0,0.0,1.0,0.0,RT @carrieunderwood: ICYMI! Watch Carrie’s performance of #CryPretty from the #ACMawards below! -TeamCU https://t.co/T9I3ko2xFu
